Pathway stable ID	Pathway DB_ID	Pathway name
REACT_1319	75105	Fatty Acyl-CoA Biosynthesis
REACT_701	75108	Activation, myristolyation of BID and translocation to mitochondria
REACT_1190	75109	Triglyceride Biosynthesis
REACT_1924	75148	ATM mediated phosphorylation of repair proteins
REACT_2229	75149	Resolution of D-loop structures
REACT_995	75153	Apoptotic execution  phase
REACT_97	75154	Recruitment of repair and signaling proteins to double-strand breaks
REACT_900	75157	FasL/ CD95L signaling
REACT_402	75158	TRAIL  signaling
REACT_486	75177	Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks
REACT_641	75205	Dissolution of Fibrin Clot
REACT_977	75228	Resolution of D-loop structures through Holliday junction intermediates
REACT_938	75815	Ubiquitin-dependent degradation of Cyclin D
REACT_380	75876	Synthesis of very long-chain fatty acyl-CoAs
REACT_1230	75892	Platelet Adhesion to exposed collagen
REACT_1432	75893	TNF signaling
REACT_1407	75896	Plasmalogen biosynthesis
REACT_1201	75924	Processing of DNA ends prior to end rejoining
REACT_1484	75944	Transcription from mitochondrial promoters
REACT_1851	75953	RNA Polymerase II Transcription Initiation
REACT_833	75955	RNA Polymerase II Transcription Elongation
REACT_2141	76000	Assembly of the RAD51-ssDNA nucleoprotein complex
REACT_798	76002	Platelet activation, signaling and aggregation
REACT_408	76003	Presynaptic phase of homologous DNA pairing and strand exchange
REACT_1280	76005	Response to elevated platelet cytosolic Ca2+
REACT_278	76009	Platelet Aggregation (Plug Formation)
REACT_1763	76010	Homologous DNA pairing and strand exchange
REACT_834	76042	RNA Polymerase II Transcription Initiation And Promoter Clearance
REACT_78	76044	Post-Elongation Processing of the Transcript
REACT_281	76046	RNA Polymerase III Transcription Initiation
REACT_347	76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter
REACT_1036	76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter
REACT_571	76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter
REACT_1966	77042	Formation of editosomes by ADAR proteins
REACT_975	77075	RNA Pol II CTD phosphorylation and interaction with CE
REACT_59	77108	Utilization of Ketone Bodies
REACT_1464	77111	Synthesis of Ketone Bodies
REACT_2108	77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA
REACT_1541	77286	mitochondrial fatty acid beta-oxidation of saturated fatty acids
REACT_160	77288	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids
REACT_1473	77289	Mitochondrial Fatty Acid Beta-Oxidation
REACT_2025	77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA
REACT_735	77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
REACT_1708	77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
REACT_1697	77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA
REACT_1887	77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA
REACT_419	77352	Beta oxidation of butanoyl-CoA to acetyl-CoA
REACT_1109	77387	Insulin receptor recycling
REACT_999	77388	SHC-related events
REACT_762	77389	IRS-related events
REACT_1364	77588	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
REACT_1096	77595	Processing of Intronless Pre-mRNAs
REACT_204	83542	ATM mediated response to DNA double-strand break
REACT_1884	83572	MRN complex relocalizes to nuclear foci
REACT_2055	83626	Processing of DNA double-strand break ends
REACT_684	83667	Resolution of D-loop structures through synthesis-dependent strand-annealing
REACT_1206	83936	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
REACT_578	109581	Apoptosis
REACT_604	109582	Hemostasis
REACT_964	109606	Intrinsic Pathway for Apoptosis
REACT_1059	109607	Extrinsic Pathway for Apoptosis
REACT_387	109688	Cleavage of Growing Transcript in the Termination Region 
REACT_456	109703	PKB-mediated events
REACT_976	109704	PI3K Cascade
REACT_634	109869	RAF/MAP kinase cascade
REACT_2253	109970	Global Genomic NER (GG-NER)
REACT_1993	109977	Repair synthesis for gap-filling by DNA polymerase in TC-NER
REACT_74	109979	Gap-filling DNA repair synthesis and ligation in TC-NER
REACT_2077	110029	RAF activation
REACT_962	110049	MEK activation
REACT_1391	110056	ERK1 activation
REACT_1941	110302	Formation of transcription-coupled NER (TC-NER) repair complex
REACT_2222	110304	Dual incision reaction in TC-NER
REACT_8	110312	Translesion synthesis by HREV1
REACT_2198	110313	Translesion synthesis by DNA polymerases bypassing lesion on DNA template 
REACT_1287	110320	Translesion synthesis by Pol eta  
REACT_822	110325	Translesion synthesis by Pol zeta
REACT_702	110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
REACT_2156	110329	Cleavage of the damaged pyrimidine 
REACT_2176	110330	Recognition and association of DNA glycosylase with site containing an affected purine
REACT_1729	110331	Cleavage of the damaged purine
REACT_1064	110357	Displacement of DNA glycosylase by  APE1
REACT_2192	110362	Removal of DNA patch containing abasic residue
REACT_1128	110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
REACT_933	110381	Resolution of AP sites via the single-nucleotide replacement pathway
REACT_185	111367	SLBP independent Processing of Histone Pre-mRNAs
REACT_1650	111446	Activation of BIM and translocation to mitochondria 
REACT_549	111447	Activation of BAD and translocation to mitochondria 
REACT_1194	111448	Activation of NOXA and translocation to mitochondria
REACT_707	111452	Activation and oligomerization of BAK protein
REACT_330	111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
REACT_1365	111455	Permeabilization of mitochondria
REACT_1322	111457	Release of apoptotic factors from the mitochondria
REACT_89	111458	Formation of apoptosome
REACT_607	111459	Activation of caspases through apoptosome-mediated cleavage
REACT_831	111461	Cytochrome c-mediated apoptotic response
REACT_2190	111463	SMAC binds to IAPs 
REACT_1767	111464	SMAC-mediated dissociation of IAP:caspase complexes 
REACT_107	111465	Apoptotic cleavage of cellular proteins
REACT_666	111469	SMAC-mediated apoptotic response
REACT_963	111471	Apoptotic factor-mediated response
REACT_15295	111885	Opioid Signalling
REACT_15497	111931	PKA-mediated phosphorylation of CREB
REACT_15502	111932	CaMK IV-mediated phosphorylation of CREB
REACT_9000	111933	Calmodulin induced events
REACT_15408	111957	Cam-PDE 1 activation
REACT_15466	111995	phospho-PLA2 pathway
REACT_15307	111996	Ca-dependent events
REACT_9053	111997	CaM pathway
REACT_15526	112040	G-protein mediated events
REACT_15426	112043	PLC beta mediated events
REACT_526	112122	ABH2 mediated Reversal of Alkylation Damage
REACT_1662	112126	ABH3 mediated Reversal of Alkylation Damage
REACT_397	112296	Post-Elongation Processing of Intron-Containing pre-mRNA
REACT_717	112297	Post-Elongation Processing of Intronless pre-mRNA
REACT_16970	112303	Electric Transmission Across Gap Junctions
REACT_16881	112307	Transmission across Electrical Synapses 
REACT_13606	112308	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels
REACT_13723	112310	Neurotransmitter Release Cycle
REACT_13583	112311	Neurotransmitter Clearance In The Synaptic Cleft
REACT_13594	112313	Neurotransmitter uptake and Metabolism In Glial Cells
REACT_15370	112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
REACT_13477	112315	Transmission across Chemical Synapses
REACT_13685	112316	Neuronal System
REACT_1845	112382	Formation of RNA Pol II elongation complex 
REACT_1892	112387	Elongation arrest and recovery
REACT_332	112399	IRS-mediated signalling
REACT_614	112407	RAF phosphorylates MEK
REACT_1482	112409	ERK activation
REACT_661	112410	SHC-mediated signalling
REACT_1183	112411	ERK2 activation
REACT_524	112412	SOS-mediated signalling
REACT_846	113418	Formation of the Early Elongation Complex
REACT_329	113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1
REACT_1321	113507	E2F-enabled inhibition of pre-replication complex formation
REACT_471	113510	E2F mediated regulation of DNA replication
REACT_584	114294	Activation, translocation and oligomerization of BAX
REACT_697	114452	Activation of BH3-only proteins
REACT_2202	114508	Effects of PIP2 hydrolysis
REACT_1178	114516	Disinhibition of SNARE formation
REACT_1695	114604	GPVI-mediated activation cascade
REACT_318	114608	Platelet degranulation 
REACT_162	139853	Elevation of cytosolic Ca2+ levels
REACT_2100	139910	Activation of BMF and translocation to mitochondria
REACT_121	139915	Activation of PUMA and translocation to mitochondria
REACT_2080	139943	PLC-mediated hydrolysis of PIP2
REACT_1875	140179	Amine Oxidase reactions
REACT_1396	140180	COX reactions
REACT_1213	140342	Apoptosis induced DNA fragmentation
REACT_1503	140534	Caspase-8 activation
REACT_1573	140834	Extrinsic Pathway
REACT_326	140837	Intrinsic Pathway
REACT_1439	140875	Common Pathway
REACT_2051	140877	Formation of Fibrin Clot (Clotting Cascade)
REACT_416	141333	Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2
REACT_505	141334	Polyamines are oxidized to amines, aldehydes and H2O2 by PAOs
REACT_1041	141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
REACT_795	141424	Amplification of signal from the kinetochores
REACT_1072	141430	Inactivation of APC/C via direct inhibition of the APC/C complex
REACT_491	141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
REACT_6959	156580	Phase II conjugation
REACT_6946	156581	Methylation
REACT_6732	156582	Acetylation
REACT_6913	156584	Cytosolic sulfonation of small molecules
REACT_6971	156587	Amino Acid conjugation
REACT_6784	156588	Glucuronidation
REACT_6926	156590	Glutathione conjugation
REACT_1006	156711	Polo-like kinase mediated events
REACT_79	156827	L13a-mediated translational silencing of Ceruloplasmin expression
REACT_1477	156842	Eukaryotic Translation Elongation
REACT_1404	156902	Peptide chain elongation
REACT_2001	156988	Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor
REACT_2155	157052	NICD traffics to nucleus
REACT_299	157118	Signaling by NOTCH
REACT_691	157212	A third proteolytic cleavage releases NICD
REACT_1762	157279	3 -UTR-mediated translational regulation
REACT_7970	157579	Telomere Maintenance
REACT_9480	157858	Gap junction trafficking and regulation
REACT_2101	157881	Cyclin B2 mediated events
REACT_424	159227	Transport of the SLBP independent Mature mRNA
REACT_405	159230	Transport of the SLBP Dependant Mature mRNA
REACT_1835	159231	Transport of Mature mRNA Derived from an Intronless Transcript
REACT_338	159234	Transport of Mature mRNAs Derived from Intronless Transcripts
REACT_1597	159236	Transport of Mature mRNA derived from an Intron-Containing Transcript
REACT_11042	159418	Recycling of bile acids and salts
REACT_6889	159424	Conjugation of carboxylic acids
REACT_1050	159740	Gamma-carboxylation of protein precursors
REACT_1906	159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
REACT_733	159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins
REACT_1132	159854	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins
REACT_111102	162582	Signal Transduction
REACT_1100	162658	Golgi Cisternae Pericentriolar Stack Reorganization
REACT_2032	162699	Synthesis of dolichyl-phosphate mannose
REACT_952	162710	Synthesis of glycosylphosphatidylinositol (GPI)
REACT_1830	162791	Attachment of GPI anchor to uPAR
REACT_1853	163125	Post-translational modification: synthesis of GPI-anchored proteins
REACT_6305	163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.
REACT_6759	163210	Formation of ATP by chemiosmotic coupling
REACT_367	163282	Mitochondrial transcription initiation
REACT_610	163316	Mitochondrial transcription termination
REACT_1575	163318	POLRMT chain elongation
REACT_1525	163358	PKA-mediated phosphorylation of key metabolic factors
REACT_1665	163359	Glucagon signaling in metabolic regulation
REACT_494	163560	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
REACT_15530	163615	PKA activation
REACT_1988	163680	AMPK inhibits chREBP transcriptional activation activity
REACT_1505	163685	Integration of energy metabolism
REACT_939	163754	Insulin effects increased synthesis of Xylulose-5-Phosphate
REACT_2122	163765	ChREBP activates metabolic gene expression
REACT_705	163767	PP2A-mediated dephosphorylation of key metabolic factors
REACT_1069	163841	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
REACT_1946	164378	PKA activation in glucagon signalling
REACT_1123	164928	Inhibition of HSL
REACT_790	165158	Activation of PKB
REACT_6838	165159	mTOR signalling
REACT_1451	165160	PDE3B signalling
REACT_6743	165181	Inhibition of TSC complex formation by PKB
REACT_6772	165720	S6K1 signalling
REACT_6836	165721	Release of eIF4E
REACT_6822	166020	Transfer of LPS from LBP carrier to CD14
REACT_6809	166166	MyD88-independent cascade 
REACT_6341	166187	Mitochondrial Uncoupling Proteins
REACT_6754	166207	S6K1-mediated signalling
REACT_6964	166208	mTORC1-mediated signalling
REACT_11061	166520	Signalling by NGF
REACT_6932	166658	Complement cascade
REACT_7964	166662	Lectin pathway of complement activation
REACT_8024	166663	Initial triggering of complement
REACT_8028	166665	Terminal pathway of complement
REACT_8012	166786	Creation of C4 and C2 activators
REACT_12079	167021	PLC-gamma1 signalling
REACT_12033	167044	Signalling to RAS
REACT_11062	167060	NGF processing
REACT_6258	167826	The fatty acid cycling model
REACT_6196	167827	The proton buffering model
REACT_9047	168138	Toll Like Receptor 9 (TLR9) Cascade
REACT_6783	168164	Toll Like Receptor 3 (TLR3) Cascade
REACT_6782	168180	TRAF6 Mediated Induction of proinflammatory cytokines
REACT_9020	168181	Toll Like Receptor 7/8 (TLR7/8) Cascade
REACT_6152	168273	Influenza Viral RNA Transcription and Replication
REACT_6296	168274	Export of Viral Ribonucleoproteins from Nucleus
REACT_6326	168298	Release
REACT_6212	168302	Budding
REACT_6277	168316	Assembly of Viral Components at the Budding Site
REACT_6354	168325	Viral Messenger RNA Synthesis
REACT_6198	168330	Viral RNP Complexes in the Host Cell Nucleus
REACT_6179	168333	NEP/NS2 Interacts with the Cellular Export Machinery
REACT_75776	168638	NOD1/2 Signaling Pathway
REACT_75913	168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
REACT_6215	168874	Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus
REACT_25359	168928	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
REACT_12005	169893	Prolonged ERK activation events
REACT_13648	169911	Regulation of Apoptosis
REACT_6362	170145	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
REACT_15312	170660	Adenylate cyclase activating pathway
REACT_15333	170670	Adenylate cyclase inhibitory pathway
REACT_6804	170822	Regulation of Glucokinase by Glucokinase Regulatory Protein
REACT_6844	170834	Signaling by TGF-beta Receptor Complex
REACT_12076	170968	Frs2-mediated activation
REACT_12002	170984	ARMS-mediated activation
REACT_12065	171007	p38MAPK events
REACT_6934	171052	LDL-mediated lipid transport
REACT_7963	171306	Packaging Of Telomere Ends
REACT_7974	171319	Telomere Extension By Telomerase
REACT_6737	173599	Formation of the active cofactor, UDP-glucuronate
REACT_7956	173623	Classical antibody-mediated complement activation
REACT_8001	173736	Alternative complement activation
REACT_6820	174048	APC/C:Cdc20 mediated degradation of Cyclin B
REACT_6785	174084	Autodegradation of Cdh1 by Cdh1:APC/C
REACT_6821	174113	SCF-beta-TrCP mediated degradation of Emi1
REACT_6828	174143	APC/C-mediated degradation of cell cycle proteins
REACT_6871	174154	APC/C:Cdc20 mediated degradation of Securin
REACT_6761	174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
REACT_6850	174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
REACT_6840	174362	Transport and synthesis of PAPS
REACT_6960	174403	Glutathione synthesis and recycling
REACT_7987	174411	Polymerase switching on the C-strand of the telomere
REACT_8027	174414	Processive synthesis on the C-strand of the telomere
REACT_7961	174417	Telomere C-strand (Lagging Strand) Synthesis
REACT_7993	174430	Telomere C-strand synthesis initiation
REACT_7999	174437	Removal of the Flap Intermediate from the C-strand
REACT_7972	174577	Activation of C3 and C5
REACT_6841	174800	Chylomicron-mediated lipid transport
REACT_6823	174824	Lipoprotein metabolism
REACT_6769	176187	Activation of ATR in response to replication stress
REACT_6867	176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
REACT_6837	176408	Regulation of APC/C activators between G1/S and early anaphase
REACT_6781	176409	APC/C:Cdc20 mediated degradation of mitotic proteins
REACT_6904	176412	Phosphorylation of the APC/C
REACT_6875	176417	Phosphorylation of Emi1
REACT_6954	176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
REACT_6776	176974	Unwinding of DNA
REACT_6812	177128	Conjugation of salicylate with glycine
REACT_6933	177135	Conjugation of benzoate with glycine
REACT_6800	177162	Conjugation of phenylacetate with glutamine
REACT_12435	177504	Retrograde neurotrophin signalling
REACT_9417	177929	Signaling by EGFR
REACT_8017	179409	APC-Cdc20 mediated degradation of Nek2A
REACT_12606	179812	GRB2 events in EGFR signaling
REACT_15334	180024	DARPP-32 events
REACT_12578	180292	GAB1 signalosome
REACT_12579	180336	SHC1 events in EGFR signaling
REACT_8030	180786	Extension of Telomeres
REACT_15425	181429	Serotonin Neurotransmitter Release Cycle
REACT_15418	181430	Norepinephrine Neurotransmitter Release Cycle
REACT_15461	181431	Acetylcholine Binding And Downstream Events
REACT_12484	182971	EGFR downregulation
REACT_13698	186712	Regulation of beta-cell development
REACT_17025	186763	Downstream signal transduction
REACT_16888	186797	Signaling by PDGF
REACT_11064	187015	Activation of TRKA receptors
REACT_11046	187024	NGF-independant TRKA activation
REACT_12056	187037	NGF signalling via TRKA from the plasma membrane
REACT_11060	187042	TRKA activation by NGF
REACT_9003	187577	SCF(Skp2)-mediated degradation of p27/p21
REACT_12058	187687	Signalling to ERKs
REACT_12077	187706	Signalling to p38 via RIT and RIN
REACT_9472	189085	Digestion of dietary carbohydrate
REACT_9441	189200	Hexose transport
REACT_9431	189445	Metabolism of porphyrins
REACT_9465	189451	Heme biosynthesis
REACT_22297	189483	Heme degradation
REACT_9470	190236	Signaling by FGFR
REACT_9439	190239	FGFR3 ligand binding and activation
REACT_9390	190241	FGFR2 ligand binding and activation
REACT_9483	190242	FGFR1 ligand binding and activation
REACT_9452	190322	FGFR4 ligand binding and activation
REACT_21272	190333	Downstream signaling of activated FGFR
REACT_21247	190345	FRS2-mediated cascade
REACT_21374	190346	SHC-mediated cascade
REACT_21310	190347	Phospholipase C-mediated cascade
REACT_9400	190370	FGFR1b ligand binding and activation
REACT_9508	190371	FGFR3b ligand binding and activation
REACT_9510	190372	FGFR3c ligand binding and activation
REACT_9515	190373	FGFR1c ligand binding and activation
REACT_9484	190374	FGFR1c and Klotho ligand binding and activation
REACT_9413	190375	FGFR2c ligand binding and activation
REACT_9396	190376	FGFR ligand binding and activation
REACT_9416	190377	FGFR2b ligand binding and activation
REACT_9398	190704	Oligomerization of connexins into connexons
REACT_9392	190827	Transport of connexins along the secretory pathway
REACT_9411	190828	Gap junction trafficking
REACT_11039	190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
REACT_9509	190861	Gap junction assembly
REACT_11050	190872	Transport of connexons to the plasma membrane
REACT_11035	190873	Gap junction degradation
REACT_21270	190926	PI-3K cascade
REACT_9405	191273	Cholesterol biosynthesis
REACT_11043	191647	c-src mediated regulation of Cx43 function and closure of gap junctions
REACT_11034	191650	Regulation of gap junction activity
REACT_11066	191859	snRNP Assembly
REACT_11054	192105	Synthesis of bile acids and bile salts
REACT_9518	192456	Digestion of dietary lipid
REACT_9497	192814	vRNA Synthesis
REACT_9491	192823	Viral mRNA Translation
REACT_9527	192869	cRNA Synthesis
REACT_9434	192905	vRNP Assembly
REACT_11059	193048	Androgen biosynthesis
REACT_11037	193144	Estrogen biosynthesis
REACT_11041	193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
REACT_13815	193634	Axonal growth inhibition (RHOA activation)
